text,label
I love this pizza,positive
The movie was awful,negative
What a fantastic performance,positive
I hate waiting in traffic,negative
The cake was delicious,positive
This book was boring,negative
I really enjoyed the concert,positive
The service was terrible,negative
This phone works perfectly,positive
The experience was horrible,negative
The food was amazing,positive
I am disappointed with this product,negative
The play was brilliant,positive
The movie disappointed me,negative
I had a great time at the park,positive
The website is confusing,negative
I love this song,positive
The app keeps crashing,negative
The restaurant is wonderful,positive
The hotel was dirty,negative
This laptop is fast and reliable,positive
The package arrived late,negative
I enjoyed the game,positive
The traffic was a nightmare,negative
The coffee was excellent,positive
The movie was a waste of time,negative
I am so happy with my purchase,positive
The service was unhelpful,negative
The dessert was delicious,positive
I dislike the new update,negative
The staff were very friendly,positive
The instructions were confusing,negative
This park is beautiful,positive
The product broke quickly,negative
The team played wonderfully,positive
The event was disappointing,negative
I love this painting,positive
The app is frustrating,negative
The store has great deals,positive
The checkout process was slow,negative
I enjoyed the museum,positive
The ride was scary and uncomfortable,negative
This cake is amazing,positive
The service is rude,negative
The weather today is perfect,positive
The room was messy,negative
I love my new shoes,positive
The book had too many mistakes,negative
The concert was incredible,positive
The delivery took forever,negative
I really like this game,positive
The interface is difficult to use,negative
The food was fresh and tasty,positive
The bus was late again,negative
I had a wonderful vacation,positive
The instructions were unclear,negative
The movie had a great plot,positive
The battery died quickly,negative
I love the new design,positive
The printer is unreliable,negative
The performance was stunning,positive
The software keeps freezing,negative
I am thrilled with this product,positive
The chairs were uncomfortable,negative
The meal was fantastic,positive
The website is very slow,negative
I enjoyed the class,positive
The phone overheats easily,negative
The coffee shop has a cozy atmosphere,positive
The package was damaged,negative
I had a great workout today,positive
The headphones stopped working,negative
I love the view from here,positive
The movie was too long,negative
The staff were helpful,positive
The service was unprofessional,negative
The book is inspiring,positive
The shoes hurt my feet,negative
The garden is beautiful,positive
The app is confusing,negative
I enjoyed the hike,positive
The train was delayed,negative
The cake tastes wonderful,positive
The room smelled bad,negative
The restaurant is cozy,positive
The flight was uncomfortable,negative
I love the music here,positive
The game was frustrating,negative
The team worked very well together,positive
The device stopped working,negative
The dessert was amazing,positive
The site is buggy,negative
I had a fun time at the event,positive
The software is slow,negative
The performance exceeded expectations,positive
The instructions are poor,negative
The experience was delightful,positive
The food arrived cold,negative
The view from the hotel is gorgeous,positive
The checkout was confusing,negative
